Matrice de transition pour le 2021-03-01
                             Anderlecht  Auderghem  Berchem-Sainte-Agathe  Bruxelles  Etterbeek  Evere  Forest (Bruxelles-Capitale)  Ganshoren  Ixelles  Jette  Koekelberg  Molenbeek-Saint-Jean  Saint-Gilles  Saint-Josse-ten-Noode  Schaerbeek  Uccle  Watermael-Boitsfort  Woluwe-Saint-Lambert  Woluwe-Saint-Pierre
Molenbeek-Saint-Jean           0.000000   0.000000                    0.0   0.000000        0.0    0.0                     0.000000      0.000      0.0  0.000000         0.0              0.733333          0.00               0.000000         0.0    0.0                  0.0                   0.0                  0.0
Saint-Gilles                   0.000000   0.000000                    0.0   0.000000        0.0    0.0                     0.000000      0.000      0.0  0.000000         0.0              0.000000          0.75               0.000000         0.0    0.0                  0.0                   0.0                  0.0
Saint-Josse-ten-Noode          0.000000   0.000000                    0.0   0.000000        0.0    0.0                     0.000000      0.000      0.0  0.000000         0.0              0.000000          0.00               0.923077         0.0    0.0                  0.0                   0.0                  0.0
Schaerbeek                     0.000000   0.000000                    0.0   0.000000        0.0    0.0                     0.000000      0.000      0.0  0.000000         0.0              0.000000          0.00               0.000000         0.5    0.0                  0.0                   0.0                  0.0
Uccle                          0.000000   0.000000                    0.0   0.000000        0.0    0.0                     0.000000      0.000      0.0  0.000000         0.0              0.000000          0.00               0.000000         0.0    1.0                  0.0                   0.0                  0.0
Watermael-Boitsfort            0.000000   0.000000                    0.0   0.000000        0.0    0.0                     0.000000      0.000      0.0  0.000000         0.0              0.000000          0.00               0.000000         0.0    0.0                  1.0                   0.0                  0.0
Woluwe-Saint-Lambert           0.000000   0.000000                    0.0   0.000000        0.0    0.0                     0.000000      0.000      0.0  0.000000         0.0              0.000000          0.00               0.000000         0.0    0.0                  0.0                   0.5                  0.0
Woluwe-Saint-Pierre            0.000000   0.000000                    0.0   0.000000        0.0    0.0                     0.000000      0.000      0.0  0.000000         0.0              0.000000          0.00               0.000000         0.0    0.0                  0.0                   0.0                  1.0

Matrice de transition pour le 2021-03-07
